# This histogram has 1000 entries
# Total under/overflows = 0/0
# mean =        49.15    std_dev =        27.87
# bin            X             Y             EY
   0             1            18          4.243
   1             3            15          3.873
   2             5            27          5.196
   3             7            20          4.472
   4             9            16              4
   5            11            15          3.873
   6            13            23          4.796
   7            15            18          4.243
   8            17            21          4.583
   9            19            20          4.472
  10            21            28          5.292
  11            23            24          4.899
  12            25            15          3.873
  13            27            17          4.123
  14            29            14          3.742
  15            31            19          4.359
  16            33            26          5.099
  17            35            25              5
  18            37            20          4.472
  19            39            20          4.472
  20            41            18          4.243
  21            43            16              4
  22            45            26          5.099
  23            47            24          4.899
  24            49            17          4.123
  25            51            23          4.796
  26            53            30          5.477
  27            55            20          4.472
  28            57            21          4.583
  29            59            29          5.385
  30            61            27          5.196
  31            63            21          4.583
  32            65            16              4
  33            67            21          4.583
  34            69            17          4.123
  35            71            24          4.899
  36            73            18          4.243
  37            75            15          3.873
  38            77            26          5.099
  39            79            14          3.742
  40            81            25              5
  41            83            13          3.606
  42            85            18          4.243
  43            87            13          3.606
  44            89            16              4
  45            91            23          4.796
  46            93            23          4.796
  47            95            14          3.742
  48            97            20          4.472
  49            99            11          3.317
