# This histogram has 20000 entries
# Total under/overflows = 13/0
# mean =        499.6    std_dev =        216.4
# bin            X             Y             EY
   0            10            12          3.464
   1            30            27          5.196
   2            50            34          5.831
   3            70            49              7
   4            90            79          8.888
   5           110           128          11.31
   6           130           178          13.34
   7           150           296           17.2
   8           170           353          18.79
   9           190           447          21.14
  10           210           492          22.18
  11           230           640           25.3
  12           250           750          27.39
  13           270           683          26.13
  14           290           861          29.34
  15           310           788          28.07
  16           330           727          26.96
  17           350           723          26.89
  18           370           634          25.18
  19           390           515          22.69
  20           410           424          20.59
  21           430           348          18.65
  22           450           261          16.16
  23           470           202          14.21
  24           490           125          11.18
  25           510            77          8.775
  26           530            87          9.327
  27           550            98          9.899
  28           570           153          12.37
  29           590           292          17.09
  30           610           438          20.93
  31           630           660          25.69
  32           650           963          31.03
  33           670          1175          34.28
  34           690          1304          36.11
  35           710          1299          36.04
  36           730          1149           33.9
  37           750           882           29.7
  38           770           705          26.55
  39           790           451          21.24
  40           810           238          15.43
  41           830           137           11.7
  42           850            69          8.307
  43           870            22           4.69
  44           890             6          2.449
  45           910             5          2.236
  46           930             1              1
  47           950             0              0
  48           970             0              0
  49           990             0              0
